location,population,MaxInfectionCount,PerCapitaInfected
United States Virgin Islands,99479,25389,25.521969460891243377999
Sint Maarten (Dutch part),44192,11051,25.006788559015206372194
Anguilla,15877,3904,24.589028153933362725955
Curacao,191173,45883,24.000774167900278805061
Costa Rica,5180836,1238883,23.912800945638889167694
Mauritius,1299478,309019,23.780240989074074359088
Panama,4408582,1047321,23.756414193951706013407
British Virgin Islands,31332,7305,23.314821907315204902336
Micronesia (country),114178,26530,23.235649599747762265935
Lebanon,5489744,1239904,22.585825495687959219956
Malta,533293,119574,22.421820650186670366946
Hungary,9967304,2203356,22.105837245457748655002
Argentina,45510324,10044957,22.071820451113466034651
Dominica,72758,15760,21.660848291596800351851
Greenland,56494,11971,21.189860870180904166814
North America,600323657,124412341,20.724210940099600306106
Turkey,85341248,17004677,19.925507768529468891760
Bulgaria,6781955,1299201,19.156732829987813248539
Qatar,2695131,514524,19.090871649652651392455
Moldova,3272993,620927,18.971229086038375273029
American Samoa,44295,8341,18.830567784174286036798
Brazil,215313504,37717062,17.517276575462726202254
Belize,405285,70782,17.464747029867870757615
Romania,19659270,3411957,17.355461316722340147930
Saint Lucia,179872,30052,16.707436399217221135029
North Macedonia,2093606,348374,16.639902636885832386800
Poland,39857144,6518400,16.354408133206935248546
Armenia,2780472,449299,16.159090974482030389085
Russia,144713312,22983150,15.881849210941976091321
South America,436816679,68804807,15.751414794305507734515
Tonga,106867,16821,15.740125576651351680125
Grenada,125459,19693,15.696761491802102678962
Kuwait,4268886,666081,15.603157357680668914559
Jordan,11285875,1746997,15.479499817249437903574
Kosovo,1782115,273923,15.370669120679641886185
Malaysia,33938216,5125089,15.101232781357747266385
Turks and Caicos Islands,45726,6630,14.499409526308883348641
Ukraine,39701744,5518385,13.899603503563974418856
Saint Kitts and Nevis,47681,6607,13.856672469117677901050
Palestine,5250076,703228,13.394625144474099041613
Suriname,618046,82588,13.362759406257786637240
Peru,34049588,4517034,13.266045979763396843450
Mayotte,326113,42027,12.887250738241039149006
Botswana,2630300,330229,12.554803634566399270045
Trinidad and Tobago,1531043,191496,12.507552041320851210579
Bosnia and Herzegovina,3233530,403061,12.465045940504649717182
Colombia,51874028,6378000,12.295170137934921884223
Canada,38454328,4697504,12.215800520555189522490
Vietnam,98186856,11622404,11.837026332730319830181
Albania,2842318,334090,11.754138699469939675996
United Arab Emirates,9441138,1067030,11.301921442097340384178
Paraguay,6780745,735759,10.850710357047787521872
Cape Verde,593162,64230,10.828407753699663835512
Belarus,9534956,994037,10.425187069557531256567
Cuba,11212198,1115064,9.945097294928255815675
Bolivia,12224114,1206420,9.869181521049296497071
Antigua and Barbuda,93772,9106,9.710787868446871134240
Upper middle income,2525921300,244249913,9.669735672287176959947
World,7975105024,769805366,9.652604745434384388616
Tunisia,12356116,1153361,9.334332892310172549367
Bahamas,409989,38084,9.289029705675030305691
Saint Vincent and the Grenadines,103959,9631,9.264229167267865216094
Guyana,808727,73385,9.074137502519391587025
Oman,4576300,399449,8.728645412232589646657
Iran,88550568,7613468,8.597875961676496530208
Pitcairn,47,4,8.510638297872340425531
Azerbaijan,10358078,832044,8.032802996849415499670
Bhutan,782457,62694,8.012453080488768072878
Kazakhstan,19397998,1502857,7.747485075521711054924
Samoa,222390,16778,7.544403974998875848734
Libya,6812344,507266,7.446276934928711762060
Fiji,929769,69047,7.426253187619720597266
Guatemala,17843914,1271061,7.123218594306159511864
China,1425887360,99665881,6.989744337168400174330
South Africa,59893884,4072533,6.799580738494100666438
Namibia,2567024,171998,6.700287959909996945879
Thailand,71697024,4756150,6.633678407628188305277
Asia,4721383370,299932445,6.352639078321657239200
Eswatini,1201680,74882,6.231442646960921376739
Mexico,127504120,7633355,5.986751643790020275423
Dominican Republic,11228821,667048,5.940499006974997642227
Ecuador,18001002,1069114,5.939191607222753488944
Iraq,44496124,2465545,5.541033192014657276665
Jamaica,2827382,155860,5.512520062729408336050
Honduras,10432858,474566,4.548763148122978382337
Tokelau,1893,80,4.226096143687268885367
Kiribati,131237,5085,3.874669491073401555963
Vanuatu,326744,12019,3.678414905859021129691
Philippines,115559008,4173631,3.611688151563225603321
Morocco,37457976,1275394,3.404866296032652698586
Nepal,30547586,1003417,3.284766920698741956238
Vatican,808,26,3.217821782178217821782
El Salvador,6336393,201785,3.184540479102227402877
India,1417173120,44996599,3.175095432236253535489
Sri Lanka,21832150,672575,3.080663150445558499735
Solomon Islands,724272,21611,2.983823756820641968763
Laos,7529477,218793,2.905819355049494141492
Sao Tome and Principe,227393,6589,2.897626576015972347433
Lower middle income,3432097300,97455494,2.839531792994330318082
Indonesia,275501344,6813095,2.472980676275757115725
Saudi Arabia,36408824,841469,2.311167754278468318559
Gabon,2388997,48992,2.050735099290622801116
Venezuela,28301700,552695,1.952868555599133620948
Timor,1341298,23460,1.749052037653079330618
Zambia,20017670,349287,1.744893386692856860963
Zimbabwe,16320539,265716,1.628107993247036755342
Lesotho,2305826,34490,1.495776350860819506762
Djibouti,1120851,15690,1.399829236892325563344
Mauritania,4736146,63714,1.345271028384682397882
Kyrgyzstan,6630621,87925,1.326044724920938777830
Bangladesh,171186368,2045159,1.194697348798240757114
Myanmar,54179312,641148,1.183381582992415998195
Comoros,836783,9109,1.088573740145294538727
Equatorial Guinea,1674916,17130,1.022737856704455626431
Rwanda,13776702,133194,0.966806134007979558532
Africa,1426736614,13105886,0.918591831974952035540
Cambodia,16767851,138940,0.828609462238184249132
Mozambique,32969520,233417,0.707978156794518088222
Pakistan,235824864,1580631,0.670256296638848056327
Kenya,54027484,343955,0.636629682774048852617
Algeria,44903228,271852,0.605417499160639408819
Afghanistan,41128772,224853,0.546704871227373382312
Senegal,17316452,89014,0.514042945979927065890
Ghana,33475870,171653,0.512766359768991814103
Uzbekistan,34627648,171887,0.496386586810631781864
Gambia,2705995,12626,0.466593618983035814922
Egypt,110990096,516023,0.464927068808013284356
Papua New Guinea,10142625,46864,0.462050011708014443992
Guinea-Bissau,2105580,9614,0.456596282259519942248
Cameroon,27914542,125090,0.448117687189709220376
Togo,8848700,39513,0.446540169742448043215
Malawi,20405318,88835,0.435352195932452510664
Congo,5970430,25196,0.422013154831394053694
Burundi,12889583,54321,0.421433338844243448372
Ethiopia,123379928,500991,0.406055513340873403654
Uganda,47249588,171729,0.363450788184650414306
Low income,737604900,2315768,0.313957784174156109863
Cote d'Ivoire,28160548,88338,0.313694179530881288247
Angola,35588996,105384,0.296114001080558721015
Haiti,11585003,34301,0.296081062732568994587
Guinea,13859349,38563,0.278245392334084378710
Eritrea,3684041,10189,0.276571297659282293546
Central African Republic,5579148,15367,0.275436321101358128517
Syria,22125242,57423,0.259536144282625247669
Madagascar,29611718,68319,0.230716096918118698820
Nicaragua,6948395,15984,0.230038735564112287801
Benin,13352864,28014,0.209797688346110617167
Tajikistan,9952789,17786,0.178703677933893705573
South Sudan,10913172,18368,0.168310368424505725741
Somalia,17597508,27334,0.155328811329422325024
Liberia,5302690,8090,0.152564075968989324286
Mali,22593598,33151,0.146727404816178459048
Sudan,46874200,63993,0.136520729953791211370
Nigeria,218541216,266675,0.122025037144480792126
Democratic Republic of Congo,99010216,97697,0.098673656059895879835
Burkina Faso,22673764,22056,0.097275423701155220632
Sierra Leone,8605723,7762,0.090195791800410029465
Tanzania,65497752,43078,0.065770196204596456989
Chad,17723312,7698,0.043434319725342531915
Niger,26207982,9515,0.036305733115964441672
Yemen,33696612,11945,0.035448667658339063879
Turkmenistan,6430777,NULL,NULL
England,56550000,NULL,NULL
Wales,3170000,NULL,NULL
Scotland,5466000,NULL,NULL
Western Sahara,576005,NULL,NULL
Hong Kong,7488863,NULL,NULL
Northern Cyprus,382836,NULL,NULL
Macao,695180,NULL,NULL
Northern Ireland,1896000,NULL,NULL
Taiwan,23893396,NULL,NULL
North Korea,26069416,NULL,NULL
