location,population,MaxDeathCount,PerCapitaDeaths
Bahamas,409989,844,0.205859181587798697038
British Virgin Islands,31332,64,0.204264011234520617898
Ecuador,18001002,36042,0.200222187631555176761
Lebanon,5489744,10947,0.199408205555668898221
Andorra,79843,159,0.199140813847175081096
Panama,4408582,8652,0.196253579949289816997
Grenada,125459,238,0.189703409081851441506
Monaco,36491,67,0.183606916773999068263
Bolivia,12224114,22399,0.183236183824856345416
Finland,5540745,10138,0.182971784480245887511
Puerto Rico,3252412,5938,0.182572195650489544375
Ireland,5023108,9148,0.182118321963214806450
Costa Rica,5180836,9428,0.181978352528433635034
Montserrat,4413,8,0.181282574212553818264
Kosovo,1782115,3209,0.180066942930170050754
South Africa,59893884,102595,0.171294618328642704153
Belize,405285,688,0.169757084520769335159
Iran,88550568,146321,0.165240046794505033553
Malta,533293,873,0.163699879803410132891
Guyana,808727,1299,0.160622805965424673591
Switzerland,8740471,14034,0.160563429590922502917
Seychelles,107135,172,0.160545106641153684603
Namibia,2567024,4098,0.159640112441488665474
Curacao,191173,305,0.159541357827726718731
Antigua and Barbuda,93772,146,0.155696796485091498528
Luxembourg,647601,1000,0.154416067918363313212
Cyprus,896007,1364,0.152230953552818225750
Bonaire Sint Eustatius and Saba,27052,41,0.151559958598255212183
Denmark,5882259,8780,0.149262383720268012680
Jersey,110796,161,0.145312105130149102855
Saint Martin (French part),31816,46,0.144581342720643701282
Canada,38454328,53147,0.138208110150826195688
Isle of Man,84534,116,0.137222892563938770198
French Guiana,304568,413,0.135601901709962963935
Israel,9449000,12625,0.133612022436236638797
United States Virgin Islands,99479,132,0.132691321786507705143
Netherlands,17564020,22986,0.130869812263935021709
Jamaica,2827382,3596,0.127184794979949649534
Albania,2842318,3604,0.126797916348557761657
Jordan,11285875,14122,0.125129863657004884424
Saint Vincent and the Grenadines,103959,124,0.119277792206542964053
Turkey,85341248,101419,0.118839368273592624284
Eswatini,1201680,1427,0.118750416084148858265
Guatemala,17843914,20235,0.113400008540727107292
Malaysia,33938216,37187,0.109572642239061711434
Palestine,5250076,5708,0.108722235640017401652
New Caledonia,289959,314,0.108291172200207615559
Honduras,10432858,11127,0.106653421334786690281
Botswana,2630300,2800,0.106451735543474128426
Guernsey,63329,67,0.105796712406638348939
Upper middle income,2525921300,2665630,0.105530999718795672691
Bahrain,1472237,1536,0.104331028224395936252
Norway,5434324,5621,0.103435128269863924197
Dominica,72758,74,0.101707028780340306220
Oman,4576300,4628,0.101129733627603085462
Azerbaijan,10358078,10295,0.099391026018533554197
Kazakhstan,19397998,19072,0.098319424509683937486
Saint Kitts and Nevis,47681,46,0.096474486692812650741
Fiji,929769,885,0.095184933031753048337
Reunion,974062,921,0.094552502818095768031
Libya,6812344,6437,0.094490237134237495933
World,7975105024,6955484,0.087214951766383158291
Australia,26177410,22696,0.086700708740857097780
Turks and Caicos Islands,45726,39,0.085290644272405196168
Northern Mariana Islands,49574,41,0.082704643563158107072
Mauritius,1299478,1053,0.081032537680514791323
Sri Lanka,21832150,16882,0.077326328373522534427
American Samoa,44295,34,0.076758099108251495654
Cuba,11212198,8530,0.076077857347863460848
Anguilla,15877,12,0.075581029161680418215
Belarus,9534956,7118,0.074651629226186256129
Cape Verde,593162,415,0.069964023319093266257
Wallis and Futuna,11596,8,0.068989306657468092445
South Korea,51815808,35557,0.068621915535892058269
Mongolia,3398373,2284,0.067208631895321673047
El Salvador,6336393,4230,0.066757222918464811131
Oceania,45038860,29291,0.065034949818889732111
New Zealand,5185289,3249,0.062658031210989397119
Maldives,523798,316,0.060328599956471769651
Japan,123951696,74694,0.060260571182503222868
Kuwait,4268886,2570,0.060203060002070797861
Indonesia,275501344,161916,0.058771401129716448860
Philippines,115559008,66646,0.057672699994101714684
Mayotte,326113,187,0.057342086945322633565
Iraq,44496124,25375,0.057027439064130619556
Micronesia (country),114178,65,0.056928655257580269403
Cayman Islands,68722,37,0.053840109426384563895
Faeroe Islands,53117,28,0.052713820434135964003
Iceland,372903,186,0.049878922937064062236
Palau,18084,9,0.049767750497677504976
Thailand,71697024,34453,0.048053598431086902574
Saint Barthelemy,10994,5,0.045479352374022193923
Vietnam,98186856,43206,0.044003853224508991305
Morocco,37457976,16297,0.043507422824981253658
Marshall Islands,41593,17,0.040872262159497992450
